1712146,Nguyễn Văn Bình,Toán,2016,23/12/1999,1712146.jpg,Thân thiện,Âm nhạc: chơi guitar,Ẩm thực: Bún chả cá,nvb@gmail.com
1712236,Trần Thị Tuyết Phương,Hóa,2016,12/2/1999,1712236.jpg,Hòa đồng,Âm nhạc: chơi violin,,tttp@gmail.com
1712356,Cao Tấn Phát,Kĩ thuật vật liệu,2016,12/5/1999,1712356.jpg,Nhút nhát,Âm nhạc: chơi sáo,Ẩm thực: Bún chả,ctp@gmail.com
1712456,Lê Thị Mỹ Tâm,Công nghệ sinh học,2016,4/3/1999,1712456.jpg,Vui vẻ,Âm nhạc: chơi dương cầm,,ltmt@gmail.com
1712578,Nguyễn Văn Linh,Sinh học,2016,26/6/1999,1712578.jpg,Thân thiện,Âm nhạc: chơi trống,Ẩm thực: Bún riêu,nvl@gmail.com
1712580,Võ Hoài Linh,Môi trường,2016,12/5/1999,1712580.jpg,Điềm tĩnh,Âm nhạc: chơi saxsophone,,vhl@gmail.com	
1712625,Nguyễn Trường Giang,Vật lý,2016,9/2/1999,1712625.jpg,Hoạt bát,Âm nhạc: chơi hạc cầm,Ẩm thực: Bún bò,ntg@gmail.com
1712730,Võ Trấn Thành,Địa chất,2016,4/11/1999,1712730.jpg,Thân thiện,Âm nhạc: chơi đàn tì bà,,vtt@gmail.com
1712792,Đặng Bình Minh,Kiến trúc,2016,16/12/1999,1712792.jpg,Tốt bụng,Âm nhạc: chơi đàn nhị,Ẩm thực: Bún mọc,dbm@gmail.com
1712881,Nguyễn Thanh Tuấn,Công nghệ thông tin,2016,14/1/1999,1712881.jpg,Âm nhạc: chơi pinao,Ẩm thực: Phở,Hài hước,ntt@gmail.com
