1712126,Nguyễn Văn Anh,Toán,2016,23/12/1999,1.jpg,Thân thiện,chơi guitar,nva@gmail.com
1712236,Trần Thị Tuyết Phương,Hóa,2016,12/2/1999,2.png,Hòa đồng,chơi violin,tttp@gmail.com
1712836,Cao Tấn Phát,Kĩ thuật vật liệu,2016,12/5/1999,3.jpg,Nhút nhát,chơi sáo,ctp@gmail.com 
1712456,Lê Thị Mỹ Tâm,Công nghệ sinh học,2016,4/3/1999,4.png,Vui vẻ,chơi dương cầm,ltmt@gmail.com
1712578,Nguyễn Văn Bình,Sinh học,2016,26/6/1999,5.jpg,Thân thiện,chơi trống,nvb@gmail.com	
1712580,Võ Hoài Linh,Môi trường,2016,12/5/1999,6.jpg,Điềm tĩnh,chơi saxsophone,vhl@gmail.com	
1712625,Nguyễn Trường Giang,Vật lý,2016,9/2/1999,7.jpg,Hoạt bát,chơi hạc cầm,ntg@gmail.com	
1712730,Võ Trấn Thành,Địa chất,2016,4/11/1999,8.jpg,Thân thiện,chơi đàn tì bà,vtt@gmail.com
1712792,Đặng Bình Minh,Kiến trúc,2016,16/12/1999,9.jpg,Tốt bụng,chơi đàn nhị,dbm@gmail.com
1712882,Nguyễn Thanh Tuấn,Công nghệ thông tin,2016,14/1/1999,10.jpg,chơi pinao,Hài hước,ntt@gmail.com
